week,seller_name,title, price ,review_count,ratings,listings,total,sov
10/30/2023,Sweetwater,Behringer Xenyx 802S 8-channel Analog Streaming Mixer,$89.00 ,14,4.9,7,7,100%
10/30/2023,Sweetwater,Focusrite Scarlett 4i4 3rd Gen USB Recording Interface,$259.99 ,613,4.7,5,12,42%
10/30/2023,Sweetwater,Focusrite Scarlett 4i4 3rd Gen USB Recording Interface,$259.99 ,610,4.7,7,12,58%
10/30/2023,Sweetwater,Focusrite Scarlett 8i6 USB Audio Interface,$299.99 ,367,4.8,5,9,56%
10/30/2023,B&H Photo-Video-Audio,Focusrite Scarlett 8i6 USB Audio Interface,$299.99 ,367,4.8,2,9,22%
10/30/2023,Guitar Center,Focusrite Scarlett 8i6 USB Audio Interface,$299.99 ,464,4.8,1,9,11%
10/30/2023,Sweetwater,Focusrite Scarlett 8i6 USB Audio Interface,$299.99 ,464,4.8,1,9,11%
10/30/2023,Music & Arts,Focusrite Scarlett 8i6 USB Audio Interface (Gen 3),$299.99 ,464,4.8,1,1,100%
10/30/2023,Amazon.com,Focusrite Scarlett Solo (3rd Gen),$101.95 ,1000,4.8,21,21,100%
10/30/2023,Amazon.com,"Focusrite Scarlett Solo 3rd Gen USB Audio Interface, for the Guitarist, Vocalist, Podcaster or Producer — High-Fidelity, Studio Quality Recording,",$101.95 ,,,16,18,89%
10/30/2023,Amazon.com,"Focusrite Scarlett Solo 3rd Gen USB Audio Interface, for the Guitarist, Vocalist, Podcaster or Producer — High-Fidelity, Studio Quality Recording,",$101.95 ,4,,2,18,11%
10/30/2023,Amazon.com,"Focusrite Scarlett Solo Studio 3rd Gen USB Audio Interface and Recording Bundle with Microphone, Headphones, XLR Cable, Knox Studio Stand, Shock",$259.00 ,,,1,1,100%
10/30/2023,Sweetwater,IK Multimedia iRig USB USB-C Digital Guitar Interface,$69.99 ,1,1,1,1,100%
10/30/2023,Sweetwater,M-Audio AIR 192|4 Vocal Studio Pro Complete Vocal Production Package,$219.00 ,66,4.7,1,1,100%
10/30/2023,Guitar Center,M-Audio M-Track Solo 2-Channel Usb Audio Interface,$49.00 ,180,4.6,2,2,100%
10/30/2023,Sweetwater,MOTU M2 2x2 USB-C Audio Interface,$199.95 ,422,4.8,2,21,10%
10/30/2023,Amazon.com,MOTU M2 2x2 USB-C Audio Interface,$199.95 ,2,,2,21,10%
10/30/2023,Sweetwater,MOTU M2 2x2 USB-C Audio Interface,$199.95 ,420,4.8,8,21,38%
10/30/2023,Amazon.com,MOTU M2 2x2 USB-C Audio Interface,$199.95 ,,,9,21,43%
10/30/2023,Sam Ash,Motu M2 Audio Interface,$199.95 ,422,4.8,3,3,100%
10/30/2023,Amazon.com,PreSonus AudioBox Studio Ultimate Bundle 25th Anniversary Edition,$299.99 ,28,4.2,2,2,100%
10/30/2023,Amazon.com,"Pyle Professional USB Audio Interface with MIC/LINE, Guitar, AUX Stereo and RCA Inputs, Phone/Stereo/Monitor Outputs, Ideal for Computer Playing &",$94.33 ,,,1,7,14%
10/30/2023,Amazon.com,"Pyle Professional USB Audio Interface with MIC/LINE, Guitar, AUX Stereo and RCA Inputs, Phone/Stereo/Monitor Outputs, Ideal for Computer Playing &",$94.62 ,,,4,7,57%
10/30/2023,Amazon.com,"Pyle Professional USB Audio Interface with MIC/LINE, Guitar, AUX Stereo and RCA Inputs, Phone/Stereo/Monitor Outputs, Ideal for Computer Playing &",$94.63 ,,,2,7,29%
10/30/2023,Amazon.com,"Sound Effects Board, Hosabely Audio Interface with Voice Changer and LED Lights, Live Sound Board for PC Phone Microphone, Audio Mixer for Karaoke,",$45.99 ,,,2,2,100%
10/30/2023,Amazon.com,"Tascam US-42B MiNiSTUDIO Creator USB Audio Interface (US42B), for Podcasting, Control Software, EZ Mode",$79.00 ,,,1,1,100%
10/30/2023,Vintage King Audio,Universal Audio Apollo Solo Thunderbolt 3 Audio Interface (B-Stock),$349.00 ,,,2,2,100%
10/30/2023,B&H Photo-Video-Audio,"Universal Audio Volt 276 Portable 2x2 USB Type-C Audio/MIDI Interface with Built-In w/ Musicians, Singers, USB Type-C for 2 Vintage-Tone Mic /",$299.00 ,47,4.7,2,2,100%
10/30/2023,Sweetwater,Universal Audio Volt 276 USB-C Audio Interface,$269.00 ,47,4.7,3,8,38%
10/30/2023,Sweetwater,Universal Audio Volt 276 USB-C Audio Interface,$269.00 ,44,4.6,5,8,63%
10/30/2023,B&H Photo-Video-Audio,Universal Audio Volt-2 USB Audio Interface,$189.00 ,48,4.7,6,19,32%
10/30/2023,musicstore.com,Universal Audio Volt-2 USB Audio Interface,$138.00 ,47,4.7,1,19,5%
10/30/2023,Amazon.com - Seller,Universal Audio Volt-2 USB Audio Interface,$169.00 ,48,4.7,4,19,21%
10/30/2023,B&H Photo-Video-Audio,Universal Audio Volt-2 USB Audio Interface,$189.00 ,47,4.7,5,19,26%
10/30/2023,Amazon.com - Seller,Universal Audio Volt-2 USB Audio Interface,$169.00 ,47,4.7,1,19,5%
10/30/2023,sweetwater.com,Universal Audio Volt-2 USB Audio Interface,$169.00 ,47,4.7,1,19,5%
10/30/2023,Reverb,Universal Audio Volt-2 USB Audio Interface,$169.00 ,47,4.7,1,19,5%
10/30/2023,Sweetwater,Apogee BOOM 2x2 USB Audio Interface,$249.00 ,18,4.6,1,2,50%
10/30/2023,Best Buy,Apogee BOOM 2x2 USB Audio Interface,$249.99 ,18,4.6,1,2,50%
10/30/2023,Amazon.com,"Asmuse USB Audio Interface, 24Bit/196kHz Professional Sound Card, Audio Mixer with XLR/TSR/TS Ports for Guitarist, Vocalist, Podcaster or Producer (",$59.99 ,,,1,1,100%
10/30/2023,Temu,"BM-800 Podcast Microphone Bundle, Podcast Equipment Bundle With V8 Sound Card, Condenser Studio Microphonefor Laptop Computer Vlog Living Broadcast",$40.97 ,,,1,1,100%
10/30/2023,Amazon.com - Seller,Behringer U-Phoria UMC204HD USB Audio Interface,$119.00 ,371,4.8,2,7,29%
10/30/2023,Amazon.com - Seller,Behringer U-Phoria UMC204HD USB Audio Interface,$119.00 ,757,4.8,1,7,14%
10/30/2023,Sweetwater,Behringer U-Phoria UMC204HD USB Audio Interface,$119.00 ,371,4.8,4,7,57%
10/30/2023,Best Buy,Elgato - Wave XLR - XLR/USB-C Microphone Interface & Digital Mixing Solution - Black,$159.99 ,152,4.7,9,13,69%
10/30/2023,Best Buy,Elgato - Wave XLR - XLR/USB-C Microphone Interface & Digital Mixing Solution - Black,$159.99 ,151,4.7,4,13,31%
10/30/2023,Amazon.com,"FDUCE SC11 Audio Interface, Podcast Equipment Bundle, Podcast Production Console for Youtube, Tiktok, Live Streaming, Podcast Recording, DJ&Gaming",$19.99 ,,,31,31,100%
10/30/2023,Amazon.com - Seller,"FIFINE PC Audio Mixer for Recording Music, USB Interface for Streaming and Podcasting with XLR",$54.99 ,,,13,13,100%
10/30/2023,Focusrite,Focusrite - Scarlett Solo (4th Gen) - USB Audio Interface,$139.99 ,239,4.8,2,2,100%
10/30/2023,Audio46 Headphones,Focusrite Scarlett 4i4 3rd Gen 4-in 4-out USB Audio Interface for Musicians,$259.99 ,613,4.7,1,1,100%
10/30/2023,Woodwind & Brasswind,Focusrite Scarlett 4i4 USB Audio Interface (Gen 3) by Woodwind & Brasswind,$259.99 ,610,4.7,3,8,38%
